Timestamp,Vehicle_ID,Type,License_Plate
17:27:20,4,car,Unknown
17:27:36,6,car,Unknown
17:27:39,15,car,Unknown
17:31:11,4,car,Unknown
17:31:27,6,car,Unknown
17:31:28,15,car,Unknown
17:31:53,1,car,Unknown
17:32:02,9,car,Unknown
17:32:13,8,car,Unknown
17:32:20,13,car,Unknown
17:32:35,46,car,Unknown
17:32:38,102,car,Unknown
17:32:54,86,car,Unknown
17:32:58,129,car,Unknown
17:33:32,180,car,Unknown
17:33:37,11,car,Unknown
17:39:05,4,car,Unknown
17:39:25,6,car,Unknown
17:39:26,15,car,Unknown
